gene_id_model V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12
645452.1.peg.1369 32.701 84.794 13.787 91.998 27.306 73.034 43.414 23.047 80.16 86.552 74.686 53.684
645452.1.peg.3404 26.879 98.249 25.948 63.643 21.685 18.005 82.156 91.432 35.139 44.186 70.706 44.648
645452.1.peg.1368 32.178 37.118 79.609 67.904 39.977 47.309 70.842 39.961 43.09 67.401 47.781 84.042
645452.1.peg.1367 18.921 56.019 49.985 67.23 55.269 94.575 63.055 18.948 75.457 9.053 14.167 83.703
645452.1.peg.1089 4.434 78.349 54.37 73.922 32.707 5.062 50.77 40.039 43.212 9.376 84.093 41.332
645452.1.peg.3406 19.569 86.587 1.451 43.844 27.233 48.606 47.996 44.061 96.496 23.194 67.746 79.838
645452.1.peg.1840 7.589 50.316 32.481 8.759 51.546 49.233 89.581 15.306 99.936 32.021 70.22 41.36
645452.1.peg.93 50.407 58.501 65.885 13.5 20.082 32.695 40.458 72.072 78.189 76.846 42.636 2.17
645452.1.peg.873 31.516 63.616 95.962 26.161 62.259 4.313 42.762 59.663 8.623 2.605 63.942 98.644
645452.1.peg.3408 36.47 33.168 85.354 52.938 81.075 53.448 82.293 96.636 21.915 90.858 8.194 8.357
645452.1.peg.2939 45.365 76.024 31.995 35.823 33.583 8.018 10.181 66.588 87.473 30.052 43.765 36.904
645452.1.peg.2940 33.704 76.374 62.754 81.034 28.465 14.94 58.098 3.223 4.287 48.884 89.341 16.723
645452.1.peg.2942 55.611 65.076 55.752 66.44 26.944 89.619 28.591 70.385 88.008 83.322 84.114 70.878
645452.1.peg.2943 56.931 34.983 75.265 1.676 96.886 67.273 4.854 14.434 42.535 91.708 64.727 49.179
645452.1.peg.131 58.999 27.651 50.678 34.587 45.638 97.67 51.625 55.625 82.678 44.54 55.102 48.949
645452.1.peg.1782 20.76 54.363 15.375 13.134 60.23 57.99 86.967 52.174 62.444 7.355 86.097 94.62
645452.1.peg.2734 47.788 85.177 21.28 63.885 66.194 23.994 17.31 75.37 54.81 4.403 3.369 52.815
645452.1.peg.1246 71.242 13.099 67.962 17.36 44.569 7.529 65.6 6.408 76.259 22.644 86.85 8.688
645452.1.peg.3682 16.995 72.984 51.614 82.939 52.557 95.281 22.176 69.562 6.984 95.189 38.449 89.551
645452.1.peg.2847 59.155 37.381 93.931 83.937 62.205 16.741 70.831 68.67 42.967 6.411 59.398 74.563
645452.1.peg.924 92.617 34.919 11.834 10.27 24.426 66.402 31.025 46.565 84.619 36.696 22.007 63.116
645452.1.peg.3426 92.14 62.303 26.053 53.747 82.053 30.953 13.445 71.011 80.756 38.32 18.89 50.953
645452.1.peg.875 31.516 70.194 80.284 7.359 64.755 65.069 35.06 26.422 36.453 99.516 56.772 93.963
645452.1.peg.2009 78.047 5.626 81.19 51.081 81.994 8.633 46.003 81.085 92.043 26.715 26.992 87.064
645452.1.peg.905 64.122 58.178 46.097 27.768 6.353 98.896 40.245 85.835 42.052 17.212 59.086 67.294
645452.1.peg.2593 80.878 27.591 92.183 77.518 22.18 72.263 50.345 80.865 50.782 57.598 72.921 74.603
645452.1.peg.2557 39.467 14.299 21.392 69.088 55.366 80.736 34.137 4.562 69.108 90.955 72.796 51.291
645452.1.peg.51 19.329 8.048 22.982 76.997 93.766 5.761 28.735 13.98 66.942 92.071 60.991 92.762
645452.1.peg.1844 62.465 53.163 24.283 18.86 40.967 25.605 58.349 72.973 33.899 80.72 17.47 45.717
645452.1.peg.228 10.376 65.234 27.939 68.091 86.82 45.439 61.181 72.96 86.979 85.705 14.227 18.171
645452.1.peg.824 16.805 8.554 6.322 90.887 19.118 32.549 35.712 90.862 78.325 77.041 6.657 27.919
645452.1.peg.2713 9.271 50.348 7.899 38.834 29.619 12.718 20.38 59.267 24.549 60.935 7.695 65.715
645452.1.peg.1630 43.66 20.224 45.581 22.031 50.691 69.359 84.609 87.881 73.138 93.794 60.044 68.957
645452.1.peg.1326 62.348 29.329 7.777 63.814 67.417 29.338 33.226 82.432 23.052 91.907 60.207 56.534
645452.1.peg.2316 12.462 82.259 88.525 48.285 4.493 18.011 44.802 87.687 80.573 80.802 40.425 98.679
645452.1.peg.2470 56.973 32.497 35.789 95.874 70.037 62.829 97.825 6.106 16.538 28.862 39.624 99.191
645452.1.peg.2595 41.952 32.534 91.8 10.484 86.482 70.174 53.857 77.696 14.461 2.376 97.678 27.072
645452.1.peg.685 49.572 98.886 16.85 28.837 37.35 80.874 89.277 51.275 7.909 61.59 57.384 2.734
645452.1.peg.1599 37.796 91.87 63.023 32.588 52.232 53.624 94.033 31.918 36.124 97.845 63.294 15.577
645452.1.peg.94 22.619 30.223 19.347 24.444 12.804 4.08 36.878 53.441 5.703 95.778 36.896 31.291
645452.1.peg.1212 79.05 63.51 18.722 12.187 71.895 71.867 23.996 96.206 55.762 29.922 33.09 40.011
645452.1.peg.839 41.78 31.343 92.319 94.604 24.427 71.213 76.49 10.371 48.063 2.31 41.899 13.297
645452.1.peg.2657 32.104 66.224 21.117 47.627 10.207 67.524 72.735 29.799 5.261 19.125 14.189 84.573
645452.1.peg.838 82.54 1.108 41.275 66.69 11.966 78.357 93.016 65.055 36.13 74.882 2.481 25.182
645452.1.peg.2658 81.12 23.812 55.738 27.995 57.558 61.478 78.074 14.747 47.829 78.79 40.74 73.321
645452.1.peg.2656 38.496 31.7 6.286 16.09 57.716 67.962 94.562 65.544 25.953 68.314 42.33 29.428
645452.1.peg.840 41.471 90.161 80.656 55.098 90.756 27.38 13.233 12.853 92.962 68.497 79.712 13.315
645452.1.peg.2660 93.17 47.17 36.903 10.406 68.136 50.725 67.195 21.336 69.541 49.704 92.044 9.862
645452.1.peg.837 30.678 40.352 7.249 50.544 73.787 87.29 64.898 28.84 88.62 69.506 50.974 56.962
645452.1.peg.2853 92.403 87.794 66.497 20.115 12.16 98.774 63.316 42.339 2.025 39.683 81.39 17.776
645452.1.peg.2850 76.312 45.985 81.434 75.419 23.427 16.031 12.318 70.289 4.753 37.594 77.185 8.581
645452.1.peg.2851 57.876 79.006 58.067 66.443 69.746 38.163 25.526 7.673 42.966 15.432 66.261 81.881
645452.1.peg.2849 57.855 66.522 62.538 25.236 18.348 5.08 52.432 29.156 56.321 92.416 44.86 23.885
645452.1.peg.1632 65.093 73.519 14.118 24.748 70.573 93.219 44.372 17.58 8.308 51.644 99.4 75.52
645452.1.peg.3455 20.901 72.163 24.503 23.58 79.683 56.63 55.252 21.976 7.536 37.482 7.579 91.861
645452.1.peg.1705 47.493 64.041 9.269 61.912 19.381 9.58 20.713 64.477 34.669 10.71 23.575 8.979
645452.1.peg.3055 76.075 45.829 14.145 76.39 11.835 99.5 60.875 36.896 22.201 45.614 72.934 16.653
645452.1.peg.2950 43.48 62.071 70.645 43.051 14.946 44.876 25.154 62.658 20.13 26.9 34.958 27.85
645452.1.peg.2841 79.872 10.839 80.735 60.171 93.365 29.246 94.245 7.62 33.25 77.133 11.522 40.382
645452.1.peg.1878 18.405 16.511 51.908 97.574 75.18 17.325 68.123 19.121 38.514 47.009 72.839 20.82
645452.1.peg.1727 98.595 82.667 59.705 17.64 79.566 80.622 90.952 65.402 47.132 23.946 9.365 86.716
645452.1.peg.1303 71.564 64.944 14.401 65.523 85.372 61.529 21.814 78.48 41.529 14.914 64.376 79.46
645452.1.peg.1304 4.546 85.088 61.723 12.46 78.737 72.957 2.437 33.937 44.615 48.722 69.41 41.113
645452.1.peg.2875 89.882 1.855 19.351 2.886 78.91 29.218 48.135 84.075 76.796 73.835 52.446 81.679
645452.1.peg.2946 85.468 99.625 44.725 83.103 18.226 14.241 50.143 33.584 99.339 50.361 30.73 58.178
645452.1.peg.2947 14.875 14.483 98.075 16.029 36.792 32.929 89.389 55.364 43.385 86.428 66.443 60.981
645452.1.peg.2876 93.39 17.275 38.879 73.425 95.139 84.385 93.868 21.096 85.611 67.419 36.381 43.148
645452.1.peg.1871 60.575 75.858 97.739 90.987 74.528 60.239 22.256 69.229 34.278 99.767 54.469 47.669
645452.1.peg.2381 1.254 55.725 26.986 44.33 51.758 8.227 88.706 8.424 4.807 57.367 64.825 74.833
645452.1.peg.1563 40.525 91.96 79.29 4.156 94.01 50.328 23.688 5.476 94.236 58.136 35.701 48.536
645452.1.peg.3438 69.484 66.771 38.442 3.309 49.105 22.079 43.163 41.087 15.014 60.897 66.622 19.798
645452.1.peg.2165 21.464 45.556 24.651 96.123 61.995 34.333 11.498 27.014 1.124 21.325 52.902 53.474
645452.1.peg.3439 90.384 17.386 89.758 26.036 9.339 94.407 99.13 77.686 71.453 31.276 35.377 19.077
645452.1.peg.2783 85.329 81.785 48.601 22.288 28.81 30.12 5.07 25.469 82.217 12.497 82.169 34.326
645452.1.peg.2782 14.458 48.501 66.347 26.854 93.882 38.791 8.809 34.245 11.837 33.101 17.007 41.649
645452.1.peg.2217 44.177 80.96 33.828 78.569 14.656 90.382 46.867 31.635 99.13 66.742 24.195 52.973
645452.1.peg.2212 98.339 3.249 94.805 41.238 67.087 72.857 10.996 20.887 52.602 69.304 41.128 14.157
645452.1.peg.1693 42.921 98.945 74.757 16.1 33.444 24.988 23.165 87.837 82.8 75.56 35.731 35.218
645452.1.peg.50 88.287 35.655 85.513 89.927 17.271 74.042 58.826 70.623 21.193 78.694 59.587 55.559
645452.1.peg.3227 27.312 57.193 38.019 60.107 73.938 89.42 96.921 71.562 31.114 26.893 31.489 9.359
645452.1.peg.1710 63.233 9.904 82.423 14.92 62.957 3.154 72.439 40.35 93.887 38.85 94.837 58.034
645452.1.peg.378 15.102 11.859 63.245 71.637 33.496 67.392 48.922 93.127 25.286 25.694 35.359 40.741
645452.1.peg.800 49.688 99.268 76.431 22.417 12.351 39.86 79.989 47.957 55.199 20.062 47.736 26.455
645452.1.peg.3068 27.545 46.898 74.896 4.783 49.243 62.333 45.341 8.055 42.947 97.225 34.911 29.977
645452.1.peg.3086 81.365 71.565 34.772 33.723 35.988 93.413 97.97 25.356 67.217 10.482 11.133 24.539
645452.1.peg.3047 37.6 7.382 11.842 16.963 8.112 52.533 57.866 67.319 25.696 93.032 66.887 48.973
645452.1.peg.2440 61.648 18.187 69.119 59.226 51.1 28.869 2.786 10.895 39.489 12.109 15.958 4.824
645452.1.peg.3545 42.714 34.68 99.681 11.069 69.139 69.415 43.783 46.96 26.345 86.118 99.277 59.968
645452.1.peg.872 43.462 77.706 78.807 99.234 25.686 77.134 19.32 68.755 96.977 62.575 86.287 62.095
645452.1.peg.2486 42.136 7.273 73.158 98.616 64.323 16.561 22.601 12.207 25.742 79.98 47.611 92.492
645452.1.peg.1803 49.174 66.898 36.574 89.989 80.802 78.571 92.593 47.382 24.751 78.199 22.991 22.778
645452.1.peg.3224 54.737 29.767 80.581 60.384 57.802 43.558 76.017 69.154 70.981 64.743 31.342 18.51
645452.1.peg.1636 48.231 73.611 69.185 61.131 61.807 10.612 17.215 93.28 76.821 65.133 34.363 99.546
645452.1.peg.381 4.117 2.791 58.688 48.487 73.631 99.851 26.77 19.597 87.577 20.202 50.17 86.216
645452.1.peg.2682 79.709 91.671 57.183 23.971 70.962 93.728 99.221 75.079 19.526 88.475 92.534 27.07
645452.1.peg.1704 92.942 29.508 50.095 5.901 50.024 21.11 25.215 43.364 26.943 80.842 5.886 86.775
645452.1.peg.1234 72.327 76.166 67.105 8.907 81.541 37.168 68.05 76.69 36.912 17.641 67.935 8.434
645452.1.peg.2027 26.284 31.439 91.027 31.865 84.637 98.05 48.473 32.987 71.114 58.451 9.87 34.348
645452.1.peg.2344 24.647 94.81 53.455 77.512 6.625 43.077 42.693 67.544 70.564 37.611 62.688 19.435
645452.1.peg.2311 83.136 27.796 16.935 58.627 33.013 41.892 9.176 1.391 28.364 55.057 2.715 88.485
645452.1.peg.1 74.182 32.625 28.587 34.051 88.841 80.393 93.085 79.09 29.818 46.249 65.358 92.761
645452.1.peg.1251 20.204 25.72 7.802 42.991 83.301 41.343 34.772 85.442 37.725 26.151 93.477 86.019
645452.1.peg.1325 81.059 68.535 29.407 95.49 99.314 29.216 91.719 8.552 16.388 46.997 68.887 95.914
645452.1.peg.2230 87.797 92.955 84.464 21.356 85.625 38.423 49.742 5.137 40.89 89.24 9.398 50.96
645452.1.peg.2355 90.75 84.326 20.581 19.276 4.334 3.181 34.448 54.71 97.977 95.27 48.53 10.804
645452.1.peg.2469 77.928 42.541 82.386 89.023 91.514 24.405 47.275 54.398 9.427 67.556 83.707 74.838
645452.1.peg.2824 73.209 79.895 94.46 83.491 94.843 36.85 98.101 92.138 26.266 14.059 23.016 85.277
645452.1.peg.3344 13.029 28.51 40.037 9.156 69.307 10.61 80.237 82.477 25.142 39.927 52.708 8.681
645452.1.peg.3414 88.823 67.181 69.338 78.463 27.413 66.377 63.138 10.602 32.812 63.536 20.674 13.601
645452.1.peg.988 78.966 90.968 2.728 12.964 35.933 72.77 45.609 53.972 44.638 26.267 53.292 50.222
645452.1.peg.1474 62.78 5.45 91.135 95.672 81.494 81.036 12.763 49.496 16.911 54.981 71.387 57.719
645452.1.peg.1475 42.163 2.604 32.095 88.623 64.629 13.041 72.935 46.91 11.266 23.562 7.98 24.879
645452.1.peg.3465 96.317 73.272 41.181 35.323 34.248 78.621 1.016 65.847 1.501 99.395 50.224 18.867
645452.1.peg.3463 11.532 78.569 85.485 66.425 49.487 56.649 21.141 7 68.605 9.453 62.972 34.105
645452.1.peg.3464 41.908 55.268 32.161 43.765 19.259 6.569 34.259 28.209 29.208 28.484 62.801 34.568
645452.1.peg.3468 3.964 36.116 42.945 65.247 68.596 63.212 20.318 53.954 82.522 23.82 85.604 23.704
645452.1.peg.3460 9.026 19.322 79.436 78.048 47.915 39.431 13.021 79.579 44.828 90.123 34.644 21.238
645452.1.peg.3461 88.311 19.412 71.325 76.615 48.052 92.364 86.15 6.274 70.038 51.201 84.472 22.142
645452.1.peg.3462 46.526 8.919 21.286 33.278 31.768 16.531 45.641 29.563 90.836 56.04 93.575 97.714
645452.1.peg.3466 74.745 27.34 71.143 57.093 3.831 17.357 52.272 53.544 43.643 77.988 6.954 92.207
645452.1.peg.3459 58.534 24.55 6.56 54.289 8.552 63.573 56.124 21.026 31.348 93.391 13.594 54.497
645452.1.peg.3554 16.53 28.358 2.46 74.909 57.851 63.378 85.365 41.103 31.801 65.785 89.799 69.761
645452.1.peg.2663 28.882 18.686 27.453 76.618 33.577 16.717 12.799 27.576 89.959 81.696 45.432 63.474
645452.1.peg.2664 27.296 3.689 16.272 90.331 12.149 60.761 61.741 92.258 80.482 62.286 15.847 19.312
645452.1.peg.2665 62.752 73.873 82.448 48.969 41.593 12.482 67.012 18.384 31.294 96.912 34.624 96.449
645452.1.peg.785 90.239 55.314 1.9 8.72 10.759 32.989 88.178 68.77 78.15 74.289 15.332 28.278
645452.1.peg.2666 67.213 30.735 88.82 68.265 39.704 7.142 42.323 80.057 83.421 85.072 84.549 44.592
645452.1.peg.1913 14.351 78.53 57.832 41.33 77.428 75.682 44.383 41.799 40.503 65.417 74.767 79.867
645452.1.peg.1912 28.544 4.315 74.717 93.108 95.094 42.165 28.979 82.21 93.416 15.451 47.838 42.303
645452.1.peg.2914 95.893 34.396 80.509 72.069 27.334 26.174 56.543 21.58 23.664 90.609 63.022 82.916
645452.1.peg.311 65.416 9.152 78.508 77.113 2.97 84.308 50.867 40.989 53.714 91.872 98.886 78.06
645452.1.peg.2407 65.732 48.467 66.079 13.654 17.844 7.732 83.401 55.131 44.37 98.774 62.989 6.225
645452.1.peg.18 84.908 90.436 90.505 22.186 26.978 98.932 65.787 86.47 28.173 91.478 75.979 98.627
645452.1.peg.2352 73.662 82.093 10.66 48.917 86.101 13.529 9.571 56.904 10.748 81.705 54.343 99.311
645452.1.peg.1407 58.726 71.344 60.933 99.754 74.911 23.487 70.926 27.988 58.723 98.702 21.568 48.01
645452.1.peg.2338 96.028 29.513 76.899 52.092 68.523 92.249 71.624 88.288 43.264 35.726 6.886 83.207
645452.1.peg.2931 64.038 37.112 36.197 73.796 16.622 62.709 97.501 44.613 49.712 28.655 5.874 80.109
645452.1.peg.1405 57.502 52.985 18.571 54.048 31.926 43.564 25.942 47.589 48.939 93.368 26.813 84.874
645452.1.peg.2933 66.04 86.34 18.447 73.181 17.2 81.638 64.682 32.756 13.698 23.979 25.288 62.548
645452.1.peg.1406 18.601 41.045 92.083 7.408 6.953 61.311 49.885 98.93 11.966 39.764 9.476 70.082
645452.1.peg.2932 20.351 18.018 15.612 11.485 28.066 96.377 8.177 55.298 35.829 39.349 17.835 34.748
645452.1.peg.912 27.13 92.351 15.769 65.985 20.117 46.947 23.281 9.72 41.949 27.756 84.851 8.078
645452.1.peg.3586 65.921 83.04 19.645 54.009 38.159 7.206 22.791 41.38 96.023 72.292 32.609 65.908
645452.1.peg.3587 26.024 92.467 14.824 2.087 40.744 41.122 80.416 86.794 65.138 5.515 65.829 35.962
645452.1.peg.3588 50.43 33.324 88.513 25.213 6.532 97.42 92.389 83.942 81.612 46.457 50.901 28.331
645452.1.peg.3589 73.23 12.02 46.923 5.11 92.2 42.262 11.309 89.293 94.389 25.142 93.859 66.89
645452.1.peg.1641 1.784 56.705 35.89 88.071 10.2 87.213 19.06 92.141 23.957 72.515 46.843 16.114
645452.1.peg.552 6.078 25.398 70.014 65.369 83.09 83.799 34.103 17.83 2.196 18.591 74 97.034
645452.1.peg.3562 40.853 13.476 80.111 82.686 46.566 4.43 2.667 49.978 87.917 21.555 85.567 29.81
645452.1.peg.3675 16.681 10.742 1.518 87.927 55.855 31.467 94.3 85.023 47.351 16.785 52.252 36.044
645452.1.peg.1605 88.895 58.536 58.809 17.117 60.951 69.002 8.569 1.383 34.542 83.74 89.654 60.237
645452.1.peg.141 20.087 14.306 27.843 58.202 90.654 90.066 1.683 15.439 47.255 78.487 28.672 87.3
645452.1.peg.2888 23.628 64.783 22.393 2.443 77.771 50.85 60.599 55.297 72.11 22.631 67.99 33.582
645452.1.peg.3031 89.849 13.454 93.203 65.043 30.077 46.982 37.279 90.695 53.4 47.224 49.49 98.689
645452.1.peg.3417 3.643 37.965 72.572 67.497 33.077 8.69 45.611 30.242 80.82 28.223 8.299 66.313
645452.1.peg.3672 59.89 71.167 4.81 75.054 73.518 3.886 45.979 96.398 58.56 53.583 64.224 55.609
645452.1.peg.845 60.158 56.508 29.084 29.362 97.116 11.571 65.328 51.432 9.951 44.328 49.343 88.023
645452.1.peg.2887 76.691 52.105 94.252 45.603 50.185 17.215 85.036 89.816 45.512 67.525 3.682 20.02
645452.1.peg.3030 70.662 22.193 54.072 67.261 79.367 86.369 53.741 89.925 30.098 1.614 71.756 91.644
645452.1.peg.3677 92.89 37.317 72.495 7.091 72.429 97.214 81.892 24.135 82.192 12.152 14.067 40.173
645452.1.peg.3416 8.379 55.139 59.799 10.6 16.443 25.339 99.272 3.262 20.778 31.785 51.899 2.406
645452.1.peg.2991 66.34 79.365 45.996 19.988 46.729 54.706 95.751 12.375 98.687 93.025 66.9 31.371
645452.1.peg.142 7.385 95.076 47.379 51.047 65.275 55.504 42.146 33.137 37.551 72.758 64.942 97.688
645452.1.peg.2884 23.053 39.431 61.008 15.235 81.012 12.333 94.921 62.115 87.186 1.782 34.228 57.851
645452.1.peg.3674 63.582 60.3 81.782 58.904 97.803 65.16 62.538 87.95 34.588 46.391 22.477 16.859
